Name,1,2,3,5,1_1,6,7,7b,19,21a,21b,21c,Tested By,Known Issues
007: NightFire,intro,intro,intro,intro,intro,untested,intro,intro,intro,intro,untested,untested,Axelcitrico,The game starts and freeze in the loading screen.
100 Bullets (Proto),untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Imadummy,None
187 Ride or Die,menus,untested,menus,untested,untested,menus,menus,menus,untested,untested,untested,menus,"/u/maty15987, willindiana, Persephone the Sheep",Freezes at create player alias
2002 FIFA World Cup,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,ItsAshleyFTW,Very minor graphical glitches
25 to Life,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,ItsAshleyFTW,"Game plays in 4:3 in 480p even in widescreen, use 720p or 1080p for true widescreen"
4x4 EVO 2,untested,untested,supported,untested,untested,untested,supported,untested,untested,untested,untested,playable,"Unknown, Persephone The Sheep","None, On xefu2021c the game can sometime freeze for a few frame during a race, saving and loading a replay can take a long time up to 2 minutes."
50 Cent: Bulletproof,untested,playable,untested,untested,in-game,untested,untested,untested,untested,untested,untested,playable,Unknown,"in Xefu1_1, going into the menu after the title screen crashes back to the dashboard, making it impossible to progress further into the game. Xefu2 and Xefu2021c work well"
Advent Rising,untested,untested,in-game,untested,untested,untested,playable,in-game,untested,untested,untested,playable,"subrussian, willindiana",Many framedrops throughout gameplay and Very low FPS after getting on the first planet
Aeon Flux,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
AFL Live 2003,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
AFL Live 2004,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
AFL Live Premiership Edition,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
AFL Premiership 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Aggressive Inline,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
AirForce Delta Storm,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,Scanlines in cutscenes and replays
Alias,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Alien Hominid,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,"Unknown, Persephone the Sheep",None
Aliens Versus Predator: Extinction,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,/u/maty15987,None
All-Star Baseball 2003,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
All-Star Baseball 2004,untested,untested,supported,untested,untested,untested,untested,in-game,untested,untested,untested,unplayable,Unknown,Glitchy Players and unable to see baseball pitches
All-Star Baseball 2005,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Alter Echo,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,untested,unplayable,untested,untested,untested,unplayable,willindiana,crashes after short splash screen
American Chopper,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
American Chopper 2: Full Throttle,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,untested,untested,untested,unplayable,willindiana,Black screen but game is running
American Idol (prototype),untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,ItsAshleyFTW,None
