Title_ID,Serial_Num,XMID,Full_Name,Title_Name,Filename,AKA,Features,Publisher,Region,XBE_Rating,Cover_Rating,Cover_Stats,UPC,Version,Media_Type,Init_Flags,Entry_Point,Cert_Timestamp,XDK_Ver,Redump_MD5,XBE_MD5
41430001,AC-001,AC00101A,Dave Mirra Freestyle BMX 2 ,Dave Mirra Freestyle BMX 2,Dave Mirra Freestyle BMX 2 (USA),,"{""0"":[[1,1,1,2],[0,3],[0,5],[1,6]]}",Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,"[[""ESRB"",""00-T"",[36]],[""ESRB"",""00-T"",[36]]]","[""NTSC-U"", ""NTSC-U-Platinum""]","[""021481402558"",""021481402558""]",0x00000001,(0x00000002) XBOX DVD,(0x0000FF04) 64MB RAM limit,(0xA8FAAC18) Retail,Sat Nov 10 07:26:11 2001,"3911, 3925, 3936",97aaa08618fd8607a612d7a65629ed39,17F6C3263B4350776282A2B8A9AA0A62
41430001,AC-001,AC00102E,Dave Mirra Freestyle BMX 2 ,Dave Mirra Freestyle BMX 2,Dave Mirra Freestyle BMX 2 (Europe),,"{""0"":[[1,1,1,2],[0,3],[0,5],[1,6]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""15"",[]],[""USK"",""94-0"",[0]]]","[""PAL-GBR"", ""PAL-DEU""]","[""3455194025518"",""3455194025532""]",0x00000001,(0x00000002) XBOX DVD,(0x0000FF04) 64MB RAM limit,(0xA8FAA939) Retail,Wed Jan 23 03:15:08 2002,4134,07f192d702fcc0815a41bb2bb7cafbe1,33E79E243AB61BC6267B5F64CE628831
41430002,AC-002,AC00201A,All-Star Baseball 2003 featuring Derek Jeter,All-Star Baseball '03,All-Star Baseball 2003 featuring Derek Jeter (USA),,"{""0"":[[1,1,1,4],[0,3,79],[0,5],[1,6]]}",Acclaim Entertainment,(1) USA / Canada,(4) E - Everyone,"[[""ESRB"",""00-E"",[]]]","[""NTSC-U""]","[""021481402817""]",0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E42A3B) Retail,Tue Feb 19 04:36:24 2002,4134,520ab544931fa17f77b5c97eb1a0536f,5DE01619CC7F0CB44AD7008C01F3DFC9
41430002,AC-002,AC00202E,All-Star Baseball 2003 featuring Derek Jeter ,All-Star Baseball '03,All-Star Baseball 2003 featuring Derek Jeter (Europe),,,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,,,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E4282B) Retail,Fri Mar 29 02:45:56 2002,4134,c7e6daa2e2aaa1baab04d8c779e3ce4d,68A9725000B052F184D814D9F9EDA8B8
41430002,AC-002,AC00203J,All-Star Baseball 2003 featuring Derek Jeter ,All-Star Baseball '03,All-Star Baseball 2003 featuring Derek Jeter (Japan),,,Acclaim Entertainment,(2) Japan,(0) RP - ALL,,,,0x00000003,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E4D4DB) Retail,Wed Jun 12 11:19:11 2002,4134,223882babb212b6c5df61aa89fb2dd8e,99CDDFC4184E61347C6572371FC45081
41430003,AC-003,AC00301A,Legends of Wrestling,Legends of Wrestling,Legends of Wrestling (USA),,"{""0"":[[1,1,1,4],[0,0],[0,0],[0,0]]}",Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,"[[""ESRB"",""00-T"",[3,31]]]","[""NTSC-U""]","[""021481402657""]",0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD8154) Retail,Wed May 15 11:25:31 2002,4242,3093a904d0eec18ac19fb32114dc8659,4990503491E97E142E2D6E296FBA078A
41430003,AC-003,AC00302E,Legends of Wrestling,Legends of Wrestling,Legends of Wrestling (Europe),,,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,,,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD8154) Retail,Fri May 17 01:59:01 2002,4242,b30ef2f461f1cf23c3f767e13e31b97d,6DF1CFF628B4AC1E1E50361AFEA72E2A
41430004,AC-004,AC00401A,Turok: Evolution,Turok Evolution,Turok - Evolution (USA),,,Acclaim Entertainment,(1) USA / Canada,(2) M - Mature,,"[""NTSC-U""]",,0x00000001,(0x00000002) XBOX DVD,(0x80000007) Unused high bit (8)? + 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD47C4) Retail,Thu Aug 15 05:57:21 2002,4627,358ef3b84600d89e86b9b7ee5ef56741,A5A64064D58C1F449CF216106F1DBBBB
41430004,AC-004,AC00403E,Turok: Evolution,Turok Evolution,Turok - Evolution (Germany),,,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,,,0x00000003,(0x00000002) XBOX DVD,(0x80000007) Unused high bit (8)? + 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD47C4) Retail,Tue Aug 20 18:23:55 2002,4627,bcd791665b4acb053c6aed97f492d45a,DD9A74F62F44856E80011DB14C9FDF38
41430004,AC-004,AC00402E,Turok: Evolution,Turok Evolution,"Turok - Evolution (Europe) (En,Fr,Es,It)",,"{""1"":[[1,1,1,4],[0,3],[0,0],[0,0]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""3"",[]],[""ELSPA"",""15"",[]],[""ELSPA"",""15"",[]],[""SELL"",""16"",[16]]]","[""PAL-GBR"", ""PAL-GBR-ELSPA-Fixed"", ""PAL-GBR-Classics"", ""PAL-FRA""]","[""3455194027314"",""3455194027314"",""5039225427311"",""3455194027314""]",0x00000002,(0x00000002) XBOX DVD,(0x80000007) Unused high bit (8)? + 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD47C4) Retail,Thu Aug 15 18:56:17 2002,4627,dc7750da2f5dd703e2ed7acd45a4d5d8,99617E5BA80A9BAC5E4BD458E1F17400
41430005,AC-005,AC00503A,Vexx ,Vexx,Vexx (USA),,,Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,,"[""NTSC-U""]",,0x00000003,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED458F) Retail,Thu Jan 30 07:56:04 2003,5120,790292cb72d829b4bb96646e369d4346,8BD39FA86301F835E40B2E83E47E5A01
41430005,AC-005,AC00504E,Vexx ,Vexx,"Vexx (Europe) (En,Fr,De,Es,It,Pt)",,"{""0"":[[1,1,1],[1,3,16],[0,5],[1,6],[0,2],[0,0],[0,0],[0,0]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""11"",[]]]","[""PAL-GBR""]","[""3455194027611""]",0x00000004,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED452F) Retail,Thu Feb 13 23:38:56 2003,5120,1464a98ceedeeaf98a10eea5e358fba2,74ABC2339AEC383BF213CD985D08088E
41430006,AC-006,AC00601A,Burnout,Burnout,Burnout (USA),,"{""0"":[[1,1,1,2],[1,8],[1,6],[0,0]]}",Acclaim Entertainment,(1) USA / Canada,(4) E - Everyone,"[[""ESRB"",""00-E"",[31]]]","[""NTSC-U""]","[""02148402909""]",0x00000001,(0x00000002) XBOX DVD,(0x00000004) 64MB RAM limit,(0xA8FD3754) Retail,Tue Mar 26 08:42:01 2002,4361,e90ace103db577f50c9aeb8ce1589407,B292631B2C5498BF8153BFDCE96C0426
41430006,AC-006,AC00602E,Burnout,Burnout,"Burnout (Europe) (En,Fr,De,Es,It)",,"{""0"":[[1,1,1,2],[1,8],[1,6],[0,0]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""11"",[]]]","[""PAL-GBR""]","[""3455194029011""]",0x00000002,(0x00000002) XBOX DVD,(0x00000004) 64MB RAM limit,(0xA8FD3754) Retail,Tue Mar 26 01:32:32 2002,4361,2d4b7328326c1203d41edd67ff4d9175,2E33302210FA9B5284AD54D6D7DBAC49
