Title ID,Name,Publisher,Developer,Release date,Has Local Multiplayer,Has LAN Multiplayer,Has Online Multiplayer
'4156084E,"""[PROTOTYPE]â„¢""","""Activision""","""Radical""",2009-06-09,FALSE,FALSE,FALSE
'415608D8,"""007â„¢ Legends""","""Activision""","""Eurocom""",2012-10-16,FALSE,FALSE,TRUE
'584108AA,"""1942: Joint Strike""","""Capcom""","""Backbone Entertainment""",2009-12-16,FALSE,FALSE,TRUE
'454107E6,"""2006 FIFA World Cupâ„¢""","""Electronic Arts""","""EA Canada""",2008-01-01,FALSE,FALSE,FALSE
'454108E4,"""2010 FIFA World Cupâ„¢""","""Electronic Arts""","""EA Canada""",2010-03-29,FALSE,FALSE,TRUE
'5451083B,"""50 Cent: BotS""","""THQ""","""Swordfish Studios""",2009-02-24,TRUE,FALSE,TRUE
'54510840,"""5th Grader: Game Time""","""THQ""","""ImaginEngine""",2009-09-22,FALSE,FALSE,FALSE
'55530808,"""AA: True Soldiers""","""UbiSoft""","""High Voltage Software""",2008-01-01,TRUE,FALSE,TRUE
'465307DA,"""AC for Answer""","""FromSoftware, Inc.""","""FromSoftware,Inc.""",2010-04-10,FALSE,FALSE,FALSE
'45410889,"""AC/DC LIVE: Rock Band""","""Electronic Arts""","""Harmonix Music Systems, Inc.""",2008-01-01,TRUE,FALSE,TRUE
'4E4D07D1,"""ACE COMBAT 6: Fires of Liberation""","""BANDAI NAMCO Entertainment Inc.""","""BANDAI NAMCO Entertainment Inc.""",2007-10-23,FALSE,FALSE,TRUE
'4E4D084C,"""ACE COMBAT ASSAULT HORIZON Demo""","""NAMCO BANDAI Games America""","""NAMCO BANDAI Games Inc.""",2011-09-13,FALSE,FALSE,FALSE
'4E4D081C,"""ACE COMBAT ASSAULT HORIZON""","""NAMCO BANDAI Games America""","""BANDAI NAMCO Entertainment Inc.""",2011-10-11,TRUE,FALSE,TRUE
'464F07FE,"""adidas miCoach""","""Published by 505 Games""","""Developed by Chromativity Ltd""",2011-06-29,FALSE,FALSE,FALSE
'4B4E0819,"""ADRENALIN MISFITS""","""Konami Digital Entertainment, Inc.""","""Konami Digital Entertainment Co., Ltd.""",2010-11-04,FALSE,FALSE,FALSE
'4E4D07D8,"""AFRO SAMURAI""","""Namco""","""SURGE""",2008-01-01,FALSE,FALSE,FALSE
'5848081B,"""Air Band""","""Microsoft Studios""","""Relentless Software""",2011-07-25,TRUE,FALSE,TRUE
'4B5907E0,"""Air Conflicts: Secret Wars""","""Kalypso Media USA, Inc.""","""Games Farm s.r.o.""",2011-08-30,FALSE,FALSE,TRUE
'413307D3,"""Air Conflicts: Secret Wars""","""bitComposer Games GmbH""","""Games Farm s.r.o.""",2011-06-16,FALSE,FALSE,FALSE
'545A07D3,"""Akai Katana""","""Rising Star Games""","""CAVE""",2012-05-11,FALSE,FALSE,FALSE
'4D530805,"""Alan Wake""","""Microsoft""","""Remedy Games""",2010-05-18,FALSE,FALSE,FALSE
'415607DC,"""Alaskan Adventures""","""Activision""","""Fun Labs""",2006-09-19,FALSE,FALSE,FALSE
'45410916,"""Alice: Madness Returns""","""Electronic Arts""","""Spicy Horse""",2011-06-14,FALSE,FALSE,FALSE
'4D4B07D2,"""Alien Breed Trilogy""","""Mastertronic Group Ltd.""","""Team 17""",2011-03-18,TRUE,FALSE,FALSE
'5345082A,"""Aliens vs Predator""","""SEGA""","""Rebellion""",2014-09-26,FALSE,FALSE,FALSE
'5345080C,"""Aliens: Colonial Marines""","""SEGA""","""Gearbox Software""",2013-05-30,TRUE,FALSE,TRUE
'54540807,"""All Pro Football 2K8""","""2K Sports""","""Take 2 Interactive""",2008-01-01,FALSE,FALSE,TRUE
'494707D1,"""Alone In The Dark""","""THQ Nordic""","""Eden Games""",2008-01-01,FALSE,FALSE,FALSE
'5345080E,"""Alpha Protocol""","""SEGA""","""Obsidian Entertainment, Inc.""",2010-04-08,FALSE,FALSE,FALSE
'4D4A07E4,"""Alvin and The Chipmunksâ„¢: Chipwrecked""","""Majesco Entertainment""","""Behaviour Interactive Inc.""",2011-10-10,FALSE,FALSE,FALSE
'415607D4,"""American Wasteland""","""Activision""","""Neversoft Entertainment""",2008-01-01,FALSE,FALSE,FALSE
'545407D4,"""Amped 3""","""2K Games""","""Indie Built, Inc.""",2008-01-01,FALSE,FALSE,FALSE
'5345083F,"""ANARCHY REIGNS""","""SEGA""","""PlatinumGames""",2012-07-05,FALSE,FALSE,TRUE
'415608E4,"""Angry Birds Trilogy""","""Activision""","""Rovio""",2012-12-21,FALSE,FALSE,FALSE
'4156088B,"""Apache: Air Assault""","""Activision""","""Gaijin Entertainment""",2010-09-04,TRUE,FALSE,FALSE
'58410B47,"""Apples to Applesâ„¢""","""THQ Inc.""","""ImaginEngine""",2011-12-07,FALSE,FALSE,TRUE
'415707DC,"""Arcana Heart 3""","""ARC SYSTEM WORKS""","""ARC SYSTEM WORKS""",2011-08-01,FALSE,FALSE,TRUE
'4A5707D2,"""ArcaniA""","""Nordic Games GmbH""","""Spellbound Entertainment AG""",2013-07-30,FALSE,FALSE,FALSE
'4E4D084F,"""Armored Core V""","""NAMCO BANDAI Games America Inc.""","""FromSoftware, Inc.""",2012-03-20,TRUE,FALSE,TRUE
'465307D6,"""ARMORED CORE4""","""FromSoftware, Inc.""","""FromSoftware,Inc.""",2010-02-25,FALSE,FALSE,TRUE
'4541084C,"""Army of Twoâ„¢ (EU)""","""Electronic Arts""","""Electronic Arts Montreal""",2010-08-03,FALSE,FALSE,FALSE
