Name,Available countries,Category,Date
Netflix (replaced by new version),"Canada, Ireland, Mexico, United Kingdom, United States, Russia,",Video,"November 19, 2008"
Facebook (removed from store and inactive),N/A,Social,"November 17, 2009"
Twitter (removed from store),N/A,Social,"November 17, 2009"
Last.fm (removed from store),"United States, United Kingdom",Music,"November 17, 2009"
Zune (replaced by Groove Music + Movies & TV.),"Music: United States, United Kingdom, France, Italy, Spain, Germany, Canada, Australia Zune Music Pass: United States, United Kingdom, France, Italy, Spain, Canada, Australia TV: United States, Canada, Movie Rental: United States, United Kingdom, France, Italy, Spain, Germany, Austria, Japan, Canada, Australia, New Zealand, Mexico Movie Purchase: United States, United Kingdom, France, Germany, Canada, Australia, New Zealand, Japan","Video, Music","November 17, 2009"
Sky Player,United Kingdom,TV,"October 27, 2009"
Vodafone Casa TV,Portugal,TV,"December 17, 2009"
Optik TV,Canada,TV,"August 4, 2010"
ESPN (removed from store),United States,Video,"November 1, 2010"
Foxtel,Australia,TV,"November 1, 2010"
Video Kinect (rendered videoKINECT),N/A,Social,"November 1, 2010"
Hulu Plus (replaced by new version),United States,Video,"April 29, 2011"
BYUtv [ 1 ],United States,TV,"April 22, 2014"
Sky Go [ note 2 ],United Kingdom,TV,"June 7, 2011"
EPIX,United States,Video,"December 6, 2011"
ESPN on Xbox Live (removed from store),United States,Video,"December 6, 2011"
Hulu,Japan,Video,"December 6, 2011"
Hulu Plus (new version),United States,Video,"December 6, 2011"
LoveFilm,United Kingdom,Video,"December 6, 2011"
Netflix (new version),"Brazil, Canada, Chile, Colombia, Mexico, United Kingdom, United States, Russia",Video,"December 6, 2011"
Premium Play by ( MediaSet ),Italy,Video,"December 6, 2011"
Sky Go (SkyDE),Germany,TV,"December 6, 2011"
Movistar TV (Movistar),Spain,TV,"December 6, 2011"
TODAY ( MSNBC ),United States,Video,"December 6, 2011"
blinkbox,United Kingdom,Video,"December 13, 2011"
iHeartRadio (Clear Channel),United States,Music,"December 13, 2011"
MSN,"Canada, Germany, Italy, Mexico, and United Kingdom",Video,"December 13, 2011"
