Title,Publisher(s),Technical issue(s),Add-Ons,Region(s),Ref(s)
2006 FIFA World Cup,EA Sports,Sometimes the text on menu options and buttons are replaced by text from a similar object on the same screen.,,,[ 5 ] [ 15 ]
25 to Life,Eidos,Random crashes would occur when attempting to start an online match.,,NA,[ 5 ] [ 15 ]
4x4 Evo 2,Gathering of Developers,Black screen when running in 480p/720p/1080i/1080p 60 Hz display settings,,,[ 5 ]
Airforce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP),Konami,,,,[ 5 ]
Aggressive Inline,AKA Acclaim,Intro sequence is choppy.,,,[ 5 ]
Alias,Acclaim Entertainment,,,,[ 5 ]
Aliens Versus Predator: Extinction,EA Games,,,,[ 5 ]
All-Star Baseball 2003,Acclaim Sports,,,,[ 5 ]
All-Star Baseball 2005,Acclaim Entertainment,,,,[ 5 ]
America's Army: Rise of a Soldier,Ubisoft,,,,[ 5 ]
AMF Bowling 2004,Mud Duck Productions,,,NA,[ 5 ]
Amped: Freestyle Snowboarding Tenku: Freestyle Snowboarding (JP),Microsoft Game Studios,,,,[ 5 ]
Amped 2 Tenku 2 (JP),Microsoft Game Studios,There is flickering geometry during some levels. On occasion a sound effect will play repeatedly.,,,[ 5 ] [ 15 ]
APEX Racing Evoluzione (PAL),Infogrames,During the dream mode cutscene there is missing audio dialogue.,,,[ 5 ] [ 15 ]
Aquaman: Battle for Atlantis,TDK Mediactive,,,NA,[ 5 ]
Arena Football,EA Sports,Minor audio static can be heard during gameplay.,,,[ 5 ] [ 15 ]
Armed and Dangerous,LucasArts,After the first level voice audio doesn't play during game cinematics. During the opening cinematic some audio and video choppiness are present.,XBO,,[ 5 ] [ 15 ]
Army Men: Sarge's War,3DO,,,,[ 5 ]
Atari Anthology,Atari,,,,[ 5 ]
ATV: Quad Power Racing 2,AKA Acclaim,,,,[ 5 ]
Auto Modellista,Capcom,,,,[ 5 ]
Avatar: The Last Airbender,THQ,,,,[ 5 ]
Bad Boys: Miami Takedown Bad Boys II (PAL),Empire Interactive,PAL edition is not backwards compatible,,,[ 5 ]
Baldur's Gate: Dark Alliance,Interplay Entertainment,In the second zone during combat scenes there is a thirty to forty frames per second drop in performance.,,NA,[ 5 ] [ 15 ]
Baldur's Gate: Dark Alliance II,Interplay Entertainment,,,,[ 5 ]
Barbie Horse Adventures: Wild Horse Rescue,Vivendi Universal Games,The bottom half of the screen is not drawn correctly in split-screen mode.,,,[ 5 ] [ 15 ]
The Bard's Tale,Vivendi Universal Games,,,,[ 5 ]
Bass Pro Shops Trophy Hunter 2007,Vivendi Universal Games,The aiming reticule is surrounded by a box while the snowmobile suffers from a partial lack of collision.,,,[ 5 ] [ 15 ]
Batman Begins,EA Games,,,,[ 5 ]
Batman: Rise of Sin Tzu,Ubi Soft,,,,[ 5 ]
Battle Engine Aquila,Infogrames,,,,[ 5 ]
Battlestar Galactica,Vivendi Universal Games,,,,[ 5 ]
