Title,Developer(s),Publisher(s),Release date
PAL,JP,NA
187 Ride or Die,Ubisoft Paris,Ubisoft,"Aug 25, 2005 AUS Aug 26, 2005 EU",Unreleased,"Aug 23, 2005"
2002 FIFA World Cup,EA Canada Creations Intelligent Games,EA Sports WW Electronic Arts Square JP,"Apr 26, 2002","May 2, 2002","Apr 22, 2002"
2006 FIFA World Cup,EA Canada,EA Sports,"Apr 28, 2006",Unreleased,"Apr 24, 2006"
25 to Life,Avalanche Software Ritual Entertainment,Eidos Interactive,Unreleased,Unreleased,"Jan 18, 2006"
4x4 Evo 2,Terminal Reality,Gathering of Developers,"Jun 5, 2002",Unreleased,"Nov 15, 2001"
50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,"Nov 25, 2005",Unreleased,"Nov 17, 2005"
Advent Rising,GlyphX Games,Majesco Entertainment,"Feb 17, 2006",Unreleased,"May 31, 2005"
Æon Flux,Terminal Reality,Majesco Entertainment,"Mar 30, 2006 AUS Mar 31, 2006 EU",Unreleased,"Nov 15, 2005"
AFL Live 2003,IR Gurus,Acclaim Sports,"Sep 5, 2002 AUS",Unreleased,Unreleased
AFL Live 2004,IR Gurus,Acclaim Entertainment,"Aug 28, 2003 AUS",Unreleased,Unreleased
AFL Live: Premiership Edition,IR Gurus,Acclaim Entertainment THQ,"Apr 29, 2004 AUS",Unreleased,Unreleased
AFL Premiership,IR Gurus,THQ,"Sep 22, 2005 AUS",Unreleased,Unreleased
Aggressive Inline,Z-Axis,AKA Acclaim,"Aug 23, 2002",Unreleased,"Aug 1, 2002"
AirForce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP),Konami Computer Entertainment Studios,Konami,"Apr 12, 2002","Feb 22, 2002","Nov 15, 2001"
Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,"Apr 8, 2004",Unreleased,"Apr 6, 2004"
Alien Hominid,The Behemoth,Zoo Digital Publishing,"May 27, 2005 EU Jun 23, 2005 AUS",Unreleased,Unreleased
Aliens Versus Predator: Extinction,Zono,Electronic Arts,"Aug 1, 2003 AUS Aug 8, 2003 EU",Unreleased,"Aug 5, 2003"
All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Sports,"May 31, 2002","Aug 8, 2002","Mar 7, 2002"
All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Sports,Unreleased,Unreleased,"Feb 28, 2003"
All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,Unreleased,Unreleased,"Mar 23, 2004"
Alter Echo,Outrage Games,THQ,"Sep 12, 2003 AUS Oct 3, 2003 EU",Unreleased,"Aug 18, 2003"
America's Army: Rise of a Soldier,"Secret Level, Inc.",Ubisoft,"Feb 24, 2006",Unreleased,"Nov 15, 2005"
American Chopper,Creat Studios,Activision,"Nov 23, 2004",Unreleased,"Nov 23, 2004"
American Chopper 2: Full Throttle,Creat Studios,Activision,"Nov 16, 2005",Unreleased,"Nov 16, 2005"
AMF Bowling 2004,Black Market Games,Mud Duck Productions,Unreleased,Unreleased,"Dec 1, 2003"
AMF Xtreme Bowling,Atomic Planet Entertainment,Mud Duck Productions,Unreleased,Unreleased,"Jun 28, 2006"
Amped: Freestyle Snowboarding,Indie Built,Microsoft Game Studios,"Mar 14, 2002","Feb 22, 2002","Nov 20, 2001"
Amped 2,Indie Built,Microsoft Game Studios,"Nov 14, 2003","Feb 26, 2004","Oct 28, 2003"
AND 1 Streetball,Black Ops Entertainment,Ubisoft,"Aug 31, 2006 AUS Sep 1, 2006 EU",Unreleased,"Jun 6, 2006"
