Title(s),Notes/Reasons,Developer,Publisher
12 Volt,"A slot car racing game, announced in May 2004 for Xbox, PlayStation 2, GameCube and PC. A GBA port was optional. [ 1 ] Cars could move freely between lanes. Beside some published screenshots no more  information's about the game or it's cancellation were given. [ 2 ] [ 3 ]",Sproing Interactive Media GmbH,
100 Bullets,"A video game adaption of the 100 Bullets comic book series was announced by Acclaim Entertainment for release on the PlayStation 2 and Xbox. This version of the game was cancelled amid Acclaim's financial troubles in the mid-2000s. D3 Publisher obtained the rights to the franchise shortly after, and announced plans to release an unrelated game in the franchise for a variety of platforms, though none of those versions ever materialized either. The comic's primary writer, Brian Azzarello, later explained that the developers had trouble translating the comic's story into the video game format. [ 4 ] [ 5 ]",Acclaim Studio Austin,Acclaim Entertainment
2 Days to Vegas,A 3rd-person action adventure game. Story takes place in different major cities across the US within 48 hours. [ 6 ] Game was shifted to the next generation and changed developer but got cancelled anyway.,2015,
1906: An Antarctic Odyssey,"A loosely based action-adventure adaptation of the book by Jules Verne. The game was announced in 1999 for PlayStation 2 and Xbox. [ 7 ] In it was renamed U.S.S. Antarctica with Capcom as it's publisher. [ 8 ] In 2002 the game was again renamed to Lost Mantis and cancelled by 2003 . [ 9 ] A trailer, concept art and screenshots were published. [ 10 ] [ 11 ] [ 12 ]",Darkworks Studios,Capcom
6Gun,"A military-themed tactical shooter, announced in 2005 and scheduled for release in 2006 for PlayStation 2, Xbox, PSP, and Windows. [ 13 ] It was planned to be shown at E3 2005. [ 14 ] Additionally, a sequel was in the works. [ 15 ] The game was canceled because the developer shut their doors in early 2006. [ 16 ] A prototype was found in 2023. [ 17 ]",Battleborn Entertainment,
9 Worlds,"An action-adventure game, announced in 2001 for Xbox, Windows and PlayStation 2. It was re-announced in 2006 for PlayStation 2 and Xbox. Both times, it was planned to show the game at E3. [ 18 ] [ 19 ]",Massive Entertainment,Sierra Studios
A Sound of Thunder,"A Licensed game to the 2005 movie. It was announced in December 2002 [ 20 ] for Xbox, PlayStation 2, and GBA and planned to release in Q2 2003. [ 21 ] In October of 2003 the developer got defunct because publisher haven't payed them. [ 22 ] The GBA game released in 2005. Gameplay of the game can be found in the TV show CSI Season 3, Episode 13.",Computer Artworks,BAM! Entertainment
A.I. Chaser,Licensed combat racing game of the Steven Speilburg's 2001 film A.I. [ 23 ] [ 24 ] The game was cancelled because the movie flopped in cinema. [ 25 ] It was announced one game would release around the movie release and every 5 years another one (see the two games below). [ 26 ],Vision Scape Interactive,Microsoft
A.I. The Circuit,also known as A.I. Gladiator Licensed fighting game of the Steven Speilburg's 2001 film A.I. [ 23 ] The game was cancelled because the movie flopped in cinema. [ 25 ] In 2009 a playable demo was found [ 27 ],Radical Entertainment,Microsoft
A.I. Guardian,Licensed fighting game of the Steven Speilburg's 2001 film A.I. [ 23 ] It was planned to release the game on Xbox and PC. [ 28 ] Concept art of the game was released in 2009. [ 29 ] The game was cancelled because the movie flopped in cinema. [ 25 ],ACeS Studios,Microsoft
Abducted,"A cinematic horror game announced in October 2002 for Windows, Mac, and Xbox. A release in 2004 was speculated. [ 30 ] It was planned to include real-time lighting and dynamic shadows. The Windows version was shown in cooperation with Nvidia at E3 2003. [ 31 ] [ 32 ]",Contraband Entertainment,
Ace Squadron,"Flying WW2 shooter announced in February 2003 for Xbox, PlayStation 2 and GameCube. [ 33 ] [ 34 ] By August 2003 the game was only in development on the PlayStation 2. By May 2004 the game was fully cancelled. [ 35 ] Atomic Planet released screenshots and a gameplay video.",Atomic Planet,
"Adversary: City Under Siege, The",A multiplayer 3rd Person action shooter was in development from May to October 2002 for Xbox and PlayStation 2. A build of the game is in the hands of a tech and level artist that worked on the game. [ 36 ] A playable Demo was shown behind closed doors at E3 2004. [ 37 ],Namco USA,Namco
"Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The","A licensed game released for PlayStation 2, GameCube, and GBA. An Xbox version was planned but never released. [ 38 ]",THQ Studio Australia,THQ
"Adventures of Jimmy Neutron: Boy Genius: Jet Fusion, The","A licensed game released for PlayStation 2, GameCube and GBA. An Xbox version was planned but never released do to low sales",Krome Studios,THQ
Agent,A sandbox game. The game was in development in 2003. It is unclear if it has something to do with the unreleased PlayStation 3 game from Rockstar. [ 39 ],Rockstar San Diego,
Alone in the Dark 5,A survival horror game developed in 2002 for PlayStation 2 and Xbox. The project was canceled after a layoff of 280 people and the reconstruction of Infograms. [ 40 ] [ 41 ],Infograms Lyon House Studio,Infograms/Atari
American Idol,"A rhythm game adaption of the American Idol TV series. Released for PlayStation 2 and Windows in 2003, the Xbox version never received a commercial release, despite being included on some European advertisements. The Xbox version was leaked onto the internet in 2021 as part of the Project Deluge video game preservation effort. [ 42 ] [ 43 ] [ 44 ]",Hothouse Creations,Codemasters
American McGee Presents Bad Day LA,Announced in 2005 for Xbox and PC with a planned release in early 2006. [ 45 ] The release was changed later to Q4 2006. [ 46 ] The game released in September 2006 for PC with negative press around it. [ 47 ],Enlight Software,Supersonic Group
American McGee’s Oz,"Announced in 2002 for PC and Xbox, the game is set in the world of Oz. A human savior was send to Oz to prevent a battle that could destroy Oz. It was planned to release in 2004. [ 48 ] In 2013 McGee tried to revive the project via Kickstarter.",Carbon6,Ronin Entertainment
America's 10 Most Wanted,A first-person shooter released on Windows and PlayStation 2. A Xbox version was planned to release in 2004 but never materialized. [ 49 ] A trailer for the Xbox version can be found of the French Official Xbox Magazine demo disc 33. [ 50 ],Black Ops Entertainment,Atari
Ancient World Online,"Also known as: Project Destiny [ 51 ] An MMORPG announced for PC, Xbox and Xbox 360 with an egyptian setting based in 3200 BC. [ 52 ] At first it was planned as a space adventure. During development, there was a public discussion about stolen research. [ 53 ] Gamespy did not expect the game coming out by 2007. [ 54 ] A PC version was planned to release in August 2020 [ 55 ] A subreddit called r/AncientWorldOnline was created in 2022 and renamed at some point, with artwork in an asian style. [ 56 ]","Solar System Studios (Original developer), VigorBioFun Studio (since 2018) [ 57 ] , Oriented Pain Studio (since 2022)",
"Ant Bully, The","Movie tie-in game of the same name. It was announced in August 2005. [ 58 ] The game was released for PlayStation 2, GameCube, Wii and Gameboy Advance. The Xbox, DS and PSP versions were cancelled due to both the movie's financial disappointment and the other version's low ratings.",Artificial Mind & Movement,Midway
Apocatlyptica,An 3rd-person action game announced on 4. April 2003 for PC and Xbox. It was planned to use Xbox live for a 8 player co-op experience. [ 59 ] This should be Konamis first Xbox Live title. [ 60 ] The Xbox version was canceled one month after the announcement. [ 61 ] The PC version released in 2004 in an buggy state. [ 62 ],Extreme FX,Konami Europe
"Apprentice, The","Licensed game about the TV show starring former president of the United States, Donald Trump. released on PC in February 2006. The game was announced in May 2005 for PC, Xbox and PSP with a planned release date in Fall of 2005. [ 63 ] [ 64 ] It was promised the game would be a ""wonderful complement"" to the televised series. - In reality the game is a shovelware minigame collection. [ 65 ] The Xbox and PSP port was planned but cancelled. [ 66 ] The PC version released to negative press. [ 67 ]",Legacy Interactive,Vivendi Universal Games
Aquanox: The Angel's Tears,"The game is based loosely on the 1996 PC game, Archimedian Dynasty. It should release in June 2005 for Xbox and PlayStation 2. [ 68 ] The game did not pass Sony's software quality assurance test. In 2005 Jowood closed the developer [ 69 ]",Massive Development,UK: Fishtank Interactive EU: Jowood
Arcturus,A space ship combat RTS game announced in 2001 for Xbox and PC. [ 70 ] [ 71 ] It was planned to release the game at the end of 2002. [ 72 ] In 2004 the company got into financial trouble and development was put on hold. [ 73 ] By August 2005 development continued. In 2008 the website shut down.,BlueInca Studios,
Area 51,Different game as the released Area 51 game. This game is an action shooter and was in development in 2000-2001 for PlayStation 2 and Xbox. [ 74 ],Midway Games West,Midway
Armada 2: Star Command,"also known as Armada II , Armada's Revenge , Armada 2: Exodus The game was originally announced for Dreamcast, then for the Xbox and PlayStation 2. Due to repeated delays and redesigns along with limited resources, the game was canceled after spending over four years in varying degrees of development. [ 75 ] [ 76 ] [ 77 ] [ 78 ] [ 79 ]",Metro 3D,Metro 3D
Asterix & Obelix XXL,"A video game adaptation of the french comic book series Asterix & Obelix was announced for the PlayStation 2 , GameCube , Windows , and the original Xbox . All versions released across 2003 and 2004 except for the Xbox version, which was scheduled for release in October 2003, but never materialized. [ 80 ]",Étranges Libellules,Atari
Asteroids 3D,3D Reboot of the Asteroids Arcade game that was in development in 2005. It was cancelled in an early prototype stage. [ 81 ],Paradigm Entertainment,Atari / THQ
Asylum,"A first person horror game announced in 2002 for Xbox, PlayStation 2 and Gamecube as Darkblack . [ 82 ] The game was compared to DCs ""ILLBLEED"" comic. [ 83 ] The player takes on the role of a contestant in a TV game show called ""FRIGHT OF YOUR LIFE!"", that takes place in a Asylum called Wolfborough that slowly degenerates into a macabre nightmare. [ 84 ] A published trailer announced the game for 2003. The game was canceled as late as 2008. [ 85 ]",Darkblack Ltd.,
ATV Quad Power Racing 3,"A sequel to ATV: Quad Power Racing 2 was announced at E3 2004 for release the following year. for winter 2005. A new trick creation system and 25 different ATVs were planned for the game. The game was later cancelled by Acclaim closed down the bankruptcy.  The rights were obtained by Fund4Games and development was continued by Acclaim Studio Manchester's successor, Silverback Studios. [ 86 ] [ 87 ] The game was shown at E3 2005 behind closed doors. [ 88 ] [ 89 ] In February 2008 a build of the game was found. [ 90 ] In 2012, game preservation group PtoPOnline revealed gameplay footage of a 2004 prototype under the name ATV 3 Lawless . [ 91 ] A found trailer showed the name ATV 3 Outlaw Pro-Quad Racing. [ 92 ]",Acclaim Entertainment,Acclaim Entertainment
Austin Powers,In 2000 Rockstar acquired the license to make Austin Power video games and announced a Kart Racer for the Dreamcast. [ 93 ] In 2001 Rockstar Co-founder Sam Houser pitched the game together wit GTA 3 and another title to Microsoft Xbox Team for approval. [ 94 ],,Rockstar Games
Automaniacs,An open world game with two car thieves as protagonists. The game was announced in November 2004 and compared to Driver or GTA. [ 95 ] [ 96 ] The developer was sold to Midway in 2005 and the game got cancelled. [ 97 ] [ 98 ],Pitbull Syndicate,
Avenida dos Aliados,"An open world game with UEFA license developed in 2002-2003. The game received a playable demo, but development stopped right after EA got the UEFA license. [ 99 ] [ 100 ]",Gamelords,
Back Pedal,An Action/Sports game. It was planned to release in North America on 17. July 2002 on GameCube [ 101 ] and 22. October 2002 on Xbox. [ 102 ] Electronic Gaming Monthly Magazine announced the Xbox version for March 2002 [ 103 ],,THQ
Bad Dudes vs. Dragon Ninja,"Port(?) of NES/Arcade game of the same name. Planned as an Original Xbox Live Arcade & PlayStation 3 digital title, but never saw the light of day. SnapDragon went bankrupt in 2009 [ 104 ]",SnapDragon Games,
Ballistics,"Futuristic Racing Game, released in October 2001 for Windows. An Xbox version was planned in 2001 but cancelled for unknown reasons. [ 105 ] [ 106 ]",Grin,Xicat Interactive
Bass Circuit Pro,Game found in early December 2024. Nothing more is known atm. [ 107 ],Fireline Studios,
Battlefield 1942,"First Person Shooter announced in 2001 for PC and Xbox. [ 108 ] The game was cancelled in January 2003, do to the team could focus all its efforts on the expansion for the PC version. [ 109 ]",Digital Illusions,EA Games
Battlestations: Midway,"An action strategy game. The game entered development in around March 2002 for Microsoft Windows under the Midway: Naval Battles title for a late 2003 to early 2004 release. [ 110 ] After SCi Games acquired the game's publishing rights, the game was  rebranded as Battlestations: Midway , and Gizmondo , PlayStation 2 , and Xbox versions were commissioned. [ 111 ] [ 112 ] [ 113 ] [ 114 ] These versions were later cancelled in favour of an Xbox 360 release. [ 115 ] Battlestations: Midway released in 2007 for PC and Xbox 360.",Mithis Games,SCi/Eidos
Banjo-Kazooie remake,"Prior to developing Banjo-Kazooie: Nuts & Bolts (2008), members of Rare 's team proposed creating a remake of the original Banjo-Kazooie where the characters became aware they were in a remake and repeating actions they had already done in the original game, which in effect would lead to characters acting differently and the remake branching off into very different events from the original game. The idea was rejected by management due to fears of how the game would be perceived; they feared that some would be unhappy that it wasn't completely a new game, while others would concurrently never realize how much it different from the original game. [ 116 ]",Rare,Microsoft
Battle Rigs,"Unannounced vehicle combat game, that was in development in 2000-2001. Was planned to be a new Destruction Derby game at some point, but set in space. The game was planned to release on Xbox and PC. [ 117 ] Developer James Sutherland published one in-game screenshot of the prototype on Twitter in 2020. [ 118 ]",Rage Software Sheffield,
B.C.,"Action Adventure Game controlling a tribe who has to survive, evolve and migrate. The game was announced in 2001. A build of the game was 50% finished in 2002. [ 119 ] The game was cancelled in 2004 for being to ambitious for its time. The preversation group PtoPOnline got their hands on at least one playable build in 2015. [ 120 ]",Intrepid Computer Entertainment / Lionhead Studios,Microsoft Games Studios
B.C. 2,"Despite the original B.C. was still in development by Lionhead Studios, the sequel to the game was announced in July 2004. The focus of it was on multiplayer via Xbox Live. [ 121 ] [ 122 ] With the cancellation of the original BC in fall 2004, the sequel was also cancelled. [ 123 ]",Intrepid Games,
Behind Enemy Lines,Not to be confused with the actually released Pilot Down: Behind Enemy Lines .,,
Beyond,An action game that was in development from December 2004 to October 2005. [ 124 ] The game never went out of the prototype state. [ 125 ] Screenshots of the game surfaced in 2008. [ 126 ],Tesla Studios,
