Title,Developer(s),Publisher(s),Release date
PAL,NTSC-J,NTSC,
187 Ride or Die,Ubisoft Paris,Ubisoft,"02005-08-26 August 26, 2005"
2002 FIFA World Cup,Template:Hlist,EA Sports WW Electronic Arts Square JP,"02002-04-26 April 26, 2002"
2006 FIFA World Cup,EA Canada,EA Sports,"02006-04-28 April 28, 2006"
25 to Life,Template:Hlist,Eidos Interactive,Unreleased
4x4 Evo 2,Terminal Reality,Gathering of Developers,"02002-06-05 June 05, 2002"
50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,"02005-11-25 November 25, 2005"
Advent Rising,GlyphX Games,Majesco Entertainment,"02006-02-17 February 17, 2006"
Template:Sort,Terminal Reality,Majesco Entertainment,"02006-03-30 March 30, 2006 AUS 02006-03-31 March 31, 2006 EU"
AFL Live 2003,IR Gurus,Acclaim Sports,"02002-09-05 September 05, 2002 AUS"
AFL Live 2004,IR Gurus,Acclaim Entertainment,"02003-08-28 August 28, 2003 AUS"
AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,"02004-04-29 April 29, 2004 AUS"
AFL Premiership,IR Gurus,THQ,"02005-09-22 September 22, 2005 AUS"
Aggressive Inline,Z-Axis,AKA Acclaim,"02002-08-23 August 23, 2002"
AirForce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP),Konami Computer Entertainment Studios,Konami,"02002-04-12 April 12, 2002"
Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,"02004-04-08 April 08, 2004"
Alien Hominid,The Behemoth,O~3 Entertainment,"02005-05-27 May 27, 2005"
Aliens Versus Predator: Extinction,Zono,Electronic Arts,"02003-08-08 August 08, 2003"
SCAR : Squadra Corse Alfa Romeo,Milestone srl,Black Bean Games,"02005-06-24 June 24, 2005"
All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Sports,"02002-05-31 May 31, 2002"
All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Sports,Unreleased
All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,Unreleased
Alter Echo,Outrage Entertainment,THQ,"02003-10-03 October 03, 2003"
America's Army: Rise of a Soldier,Secret Level,Ubisoft,"02006-02-24 February 24, 2006"
American Chopper,Creat Studios,Activision,"02006-03-17 March 17, 2006"
American Chopper 2: Full Throttle,Creat Studios,Activision,"02006-03-17 March 17, 2006"
AMF Bowling 2004,Mud Duck Productions,Bethesda Softworks,Unreleased
AMF Xtreme Bowling,Mud Duck Productions,Bethesda Softworks,Unreleased
Amped: Freestyle Snowboarding Tenku Freestyle Snowboarding (JP),Indie Built,Microsoft Game Studios,"02002-03-14 March 14, 2002"
Amped 2,Indie Built,Microsoft Game Studios,"02003-11-14 November 14, 2003"
AND 1 Streetball,Black Ops Entertainment,Ubisoft,"02006-06-29 June 29, 2006"
Angelic Concert (JP),Kogado Studio,Success,Unreleased
Animaniacs: The Great Edgar Hunt,Warthog Games,Ignition Entertainment,"02005-10-14 October 14, 2005"
Antz Extreme Racing,LSP,Empire Interactive,"02002-07-26 July 26, 2002"
Aoi Namida (JP),Artlim Media,Panther Software,Unreleased
APEX Racing Evoluzione (PAL),Milestone,Infogrames,"02003-02-28 February 28, 2003"
Aquaman: Battle for Atlantis,Lucky Chicken Games,TDK Mediactive,Unreleased
Arctic Thunder,Midway Games,Midway Games,"02002-03-22 March 22, 2002"
Area 51,Midway Studios Austin,Midway,"02005-05-27 May 27, 2005"
Arena Football,EA Tiburon,EA Sports,Unreleased
Armed and Dangerous,Planet Moon Studios,LucasArts,"02004-02-27 February 27, 2004"
